"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKFY1",0.00101496725539652,-1.03854875682525,0,0.44,1
"CSMD1",0.00128683170639481,-0.995988056160099,0,0.48,1
"MAVS",0.00206482252168868,-0.992019487166083,0.25,0.64,1
"CHD5",0.00374140192015508,-1.00377529932243,0.375,0.56,1
"MAP7",0.00408538734247596,0.988658732550827,0.75,0.32,1
"ZNF169",0.00454279059926153,-0.52647222940696,0,0.32,1
"ESCO1",0.00519847135362699,-1.14929508791719,0,0.32,1
"CELF4",0.00603040517140978,-0.684709568869105,0.562,0.88,1
"MGA",0.00691968100035048,-0.879716145597371,0.188,0.48,1
"ADD3",0.00746558538997107,0.756824481917075,0.812,0.56,1
"IGF2R",0.00751473835165886,0.908500521198823,0.562,0.08,1
"ANKRD12",0.00752075651531374,-0.525777947168924,0.75,1,1
"GRK4",0.00810849754726724,-0.720470211430711,0,0.36,1
"MYO16",0.008657829372301,-0.818492002342078,0.062,0.36,1
"GTDC1",0.00873414636121844,-0.856843994642433,0,0.28,1
"MXD1",0.0089315032897145,-0.820190847989959,0.062,0.36,1
"KDSR",0.00956122265453886,-0.572794744336362,0,0.28,1
"UBR5",0.0103923856779726,-0.779568215450757,0.312,0.48,1
"C1orf21",0.0108375161388764,-0.827192090109509,0.125,0.4,1
"ROCK2",0.0114890828025693,-0.768010227278608,0.375,0.76,1
"CHD6",0.0121495138781722,-0.911612435336097,0.188,0.36,1
"ARHGEF11",0.0125088329179509,-0.798753481871182,0.25,0.44,1
"UBTF",0.0125385129965067,0.612596758965546,0.625,0.2,1
"CLU",0.0125823371923289,-0.723518785510589,0.375,0.68,1
"ADGRB2",0.0127492411010358,-0.332227435874275,0,0.24,1
"PAFAH1B2",0.0129837203128725,-0.692366112284697,0.062,0.32,1
"LRRC49",0.0132220390050754,-0.733102502800271,0,0.24,1
"LYRM7",0.0134184768361751,-0.643427660416535,0,0.28,1
"KHSRP",0.0138735094703319,-0.73617916731111,0.062,0.28,1
"TMEM74B",0.0139305121372897,-0.691109140947121,0,0.28,1
"GAL3ST4",0.0139893852132988,-0.313521038957851,0,0.24,1
"FGFR1",0.0154757853066163,-0.37362845428524,0,0.24,1
"ARHGAP10",0.0159348271652318,-0.275364475486037,0,0.24,1
"PABPC4",0.0161036618723824,-0.671898352540321,0.062,0.28,1
"CCSER2",0.0161342066605351,-0.868530837662417,0.125,0.44,1
"CUL9",0.0164591771860467,-0.741615377388344,0,0.28,1
"PREPL",0.016561379982577,-0.681482717947623,0.312,0.64,1
"ACO1",0.0165775260038203,-0.736065150912304,0,0.28,1
"FRMPD4",0.0167369442927432,-0.538422327838556,0,0.24,1
